Skill,Count,Percentage
Java,274,31.93
Python,224,26.11
SQL,219,25.52
Javascript,196,22.84
REST,168,19.58
C/C++,159,18.53
Ruby,130,15.15
OOP,116,13.52
Linux,112,13.05
Go,109,12.70
CSS,100,11.66
HTML,96,11.19
AWS,86,10.02
Machine Learning,85,9.91
iOS,73,8.51
Algorithms,73,8.51
Android,69,8.04
Hadoop,63,7.34
Networking,62,7.23
NoSQL,61,7.11
Git,58,6.76
Distributed Systems,57,6.64
Spark,57,6.64
Scala,53,6.18
Rails,51,5.94
MVC,51,5.94
.NET,48,5.59
Apache,47,5.48
PHP,46,5.36
C#,42,4.90
Cassandra,42,4.90
jQuery,40,4.66
MongoDB,40,4.66
Statistics,35,4.08
XML,34,3.96
R,34,3.96
Node.js,32,3.73
Redis,31,3.61
Data Structures,31,3.61
AngularJS,31,3.61
JSON,30,3.50
Unix,29,3.38
Kafka,27,3.15
Bash,24,2.80
Perl,23,2.68
JIRA,21,2.45
Maven,20,2.33
Objective-C,19,2.21
Swift,17,1.98
Django,16,1.86
Operating Systems,13,1.52
React,9,1.05
Matlab,6,0.70
MeteorJS,5,0.58
Gradle,5,0.58
RabbitMQ,5,0.58
VCS,4,0.47
Symfony,4,0.47
Heroku,2,0.23
Rust,1,0.12
CoffeeScript,1,0.12
Tornado,1,0.12
Pyramid,1,0.12
NumPy,1,0.12
